sample_id_pangaea;ocean_region;depth;depthplot;sizeplot;abs_lat;temperature;chla;phosphate;nitrate_nitrite;silicate;OTU_richness;Shannon;Inv_Simpson;Pielou
TARA_A100000005;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;39.91;21.620425;0.097919;0.01605;0.032125;0.97155;1278;4.52958983063232;35.3330160977522;0.633238799578708
TARA_A100000032;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;37.4956;20.858567;0.11467;0.02835;0.037;0.6661;3285;5.9072257802412;142.01217898609;0.729546353709281
TARA_A100000036;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;nano;37.4956;20.858567;0.11467;0.02835;0.037;0.6661;1435;3.38464794199291;4.22076051942669;0.46563284260959
TARA_A100000037;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;nano;37.4532;15.256858;0.15011;0.0161;0.94;NA;2789;5.28268679108165;31.8497910799299;0.665876072009359
TARA_A100000130;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;36.2749;21.098525;0.015438;NA;NA;NA;1244;4.75462851046947;40.2565057838361;0.66721446540301
TARA_A100000134;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;micro;36.253;16.606738;0.101271;NA;NA;NA;1985;5.51311428301158;79.3029811343464;0.726042750271127
TARA_A100000164;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;pico;35.759;21.48665;0.013344;0.0256;0.118;0.5571;2204;5.91303068183364;119.265547046252;0.768122665041043
TARA_A100000357;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;42.4593;18.478025;0.105937;NA;NA;NA;695;2.55821807350408;4.8050569129759;0.390931010972884
TARA_A100000360;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;42.456;18.478025;0.105937;NA;NA;NA;1818;4.93198713235394;51.1105749604343;0.657117075312223
TARA_A100000393;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;39.3888;18.319192;0.104797;0.00525;0.03525;1.0505;4625;5.92189614566779;149.906746966323;0.701710344176334
TARA_A100000396;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;piconano;39.3991;15.181967;0.134028;NA;0.3595;1.354;6268;6.37287413532241;160.005752266815;0.728893877381964
TARA_A100000398;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;nano;39.3991;15.181967;0.134028;NA;0.3595;1.354;3573;5.60226287447395;73.3128502126953;0.684776032606633
TARA_A100000402;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;39.2143;18.319192;0.104797;0.00525;0.03525;1.0505;892;3.0070812542798;5.53890226232227;0.44264315087382
TARA_A100000534;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;39.8386;17.298758;0.155586;0.0133;0.23125;1.9913;5182;6.32785522144212;228.588648940031;0.739845072594606
TARA_A100000536;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;39.8312;17.298758;0.155586;0.0133;0.23125;1.9913;755;3.52664297124812;13.0514320010432;0.532185480760483
TARA_A100000538;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;39.814;17.298758;0.155586;0.0133;0.23125;1.9913;1767;4.57320998474862;18.7496744041542;0.611633871041165
TARA_A100000539;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;nano;39.8386;17.298758;0.155586;0.0133;0.23125;1.9913;2492;5.4661956944038;78.8459798271208;0.698926851772051
TARA_A100000546;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;42.1916;17.211742;0.103935;0.012;0.040875;1.372375;1349;3.02680768652328;9.92391869886854;0.419974714849634
TARA_A100000548;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;42.1735;17.211742;0.103935;0.012;0.040875;1.372375;1540;4.65440044232697;31.4678536841772;0.634154443438475
