sample_id_pangaea;ocean_region;depth;depthplot;sizeplot;abs_lat;temperature;chla;phosphate;nitrate_nitrite;silicate;OTU_richness;Shannon;Inv_Simpson;Pielou
TARA_A100000005;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;39.91;21.620425;0.097919;0.01605;0.032125;0.97155;34;1.96228450716054;4.54535926645705;0.556461681516279
TARA_A100000032;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;37.4956;20.858567;0.11467;0.02835;0.037;0.6661;42;2.93500090993403;10.3795164647489;0.785248887589485
TARA_A100000036;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;nano;37.4956;20.858567;0.11467;0.02835;0.037;0.6661;69;3.34561607429318;17.1781492460644;0.790158695975318
TARA_A100000037;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;nano;37.4532;15.256858;0.15011;0.0161;0.94;NA;175;3.70190706283732;19.9349706553613;0.716759045104265
TARA_A100000130;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;36.2749;21.098525;0.015438;NA;NA;NA;28;2.25765232581335;5.14896988906498;0.677525139564332
TARA_A100000134;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;micro;36.253;16.606738;0.101271;NA;NA;NA;76;2.31199636383537;5.58620231290708;0.53385793632875
TARA_A100000164;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;pico;35.759;21.48665;0.013344;0.0256;0.118;0.5571;7;1.80951425584928;5.44444444444444;0.929906376575379
TARA_A100000357;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;42.4593;18.478025;0.105937;NA;NA;NA;13;2.04897056240412;5.48780487804878;0.798834704647709
TARA_A100000360;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;42.456;18.478025;0.105937;NA;NA;NA;125;2.71317768103424;5.7044301915853;0.561930692298003
TARA_A100000393;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;39.3888;18.319192;0.104797;0.00525;0.03525;1.0505;31;2.10411956039517;4.03823581717944;0.612733663552087
TARA_A100000396;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;piconano;39.3991;15.181967;0.134028;NA;0.3595;1.354;54;3.1952210428726;13.4761384335155;0.801011236338399
TARA_A100000398;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;nano;39.3991;15.181967;0.134028;NA;0.3595;1.354;152;3.79446781016789;17.3243113936163;0.755286236291445
TARA_A100000402;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;39.2143;18.319192;0.104797;0.00525;0.03525;1.0505;21;2.38615521479882;5.30022075055188;0.783753532321835
TARA_A100000534;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;39.8386;17.298758;0.155586;0.0133;0.23125;1.9913;77;2.14069511062647;3.42629589568021;0.492815608143181
TARA_A100000536;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;39.8312;17.298758;0.155586;0.0133;0.23125;1.9913;20;2.19648216400354;4.68898186889819;0.733203759025414
TARA_A100000538;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;39.814;17.298758;0.155586;0.0133;0.23125;1.9913;111;2.82232207306777;7.7091536798632;0.599278898833967
TARA_A100000539;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;nano;39.8386;17.298758;0.155586;0.0133;0.23125;1.9913;137;3.38193559956829;15.3664900758751;0.687387949374834
TARA_A100000546;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;42.1916;17.211742;0.103935;0.012;0.040875;1.372375;20;2.31452022225682;6.87066246056782;0.772605830864514
TARA_A100000548;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;42.1735;17.211742;0.103935;0.012;0.040875;1.372375;88;3.07074313938372;10.2378904238281;0.685841442496345
TARA_A100000551;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;42.2038;17.211742;0.103935;0.012;0.040875;1.372375;58;2.19570937632738;3.81309361703795;0.540756112233159
TARA_A100000553;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;nano;42.2038;17.211742;0.103935;0.012;0.040875;1.372375;140;3.59063974800281;21.4510049223633;0.7266085728046
TARA_A100000554;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;meso;42.1646;15.454558;0.146999;0.012;0.05;1.0505;95;1.19260680839442;1.58130501714396;0.261888240895168
TARA_A100000558;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;nano;42.1735;15.180558;0.136877;0.012;0.05;1.0505;157;2.91566821395627;8.09282403578539;0.576646849500906
TARA_A100000559;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;piconano;42.1735;15.180558;0.136877;0.012;0.05;1.0505;87;2.41191372198525;4.44003660652508;0.540072401380231
TARA_A100000589;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;micro;35.7528;17.146013;0.102915;NA;NA;NA;99;2.76845738115501;6.85868357521795;0.602477731037619
TARA_A100000594;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;35.7405;21.48665;0.013344;0.0256;0.118;0.5571;14;2.58857316268212;12.5652173913043;0.980870378840728
TARA_A100000595;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;35.759;21.48665;0.013344;0.0256;0.118;0.5571;53;2.75135894725491;8.11750111645909;0.692986562993888
TARA_A100000596;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;35.7444;21.48665;0.013344;0.0256;0.118;0.5571;36;2.09896200165724;4.63989371338849;0.585726498926092
TARA_A100000600;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;meso;35.7528;17.146013;0.102915;NA;NA;NA;25;3.05621956636721;17.3291139240506;0.949467992134288
TARA_A100000602;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;nano;35.7528;18.30575;0.076875;0.0131;0.038;0.58135;103;3.48078596710476;12.3465895312987;0.751022546505862
TARA_A100000604;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;piconano;35.7528;18.30575;0.076875;0.0131;0.038;0.58135;76;2.83364927423208;7.83375474083439;0.654311649223993
TARA_A100000689;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;37.5152;19.467325;0.101364;0.006225;0.131;0.8355;55;2.15407259292316;4.04349185681111;0.537532691531913
TARA_A100000691;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;nano;37.5057;19.467325;0.101364;0.006225;0.131;0.8355;126;2.62702532247741;5.68919681173824;0.543191106933081
TARA_A100000692;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;37.5057;19.467325;0.101364;0.006225;0.131;0.8355;46;2.60222695785481;9.18582599593622;0.67967372453348
TARA_A100000693;[MS] Mediterranean Sea (MRGID:1905);ZZZ;;meso;37.5145;14.374525;0.019279;0.000575;0.131;0.8355;12;2.37862019941021;9.75675675675675;0.957227185823316
TARA_A100000696;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;nano;39.5705;16.974267;0.168962;0.010725;0.029;1.59855;162;3.23611729454231;10.6112907419001;0.636079806908363
TARA_A100000698;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;piconano;39.5705;16.974267;0.168962;0.010725;0.029;1.59855;77;2.00709138862033;3.14905731543077;0.46205830917809
TARA_A100000700;[MS] Mediterranean Sea (MRGID:1905);DCM;MIX/DCM;meso;39.8607;15.384667;0.082358;0.01065;0.2935;NA;19;2.14580627375222;5.16044090630741;0.728765747544779
TARA_A100000749;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;34.453;21.5215;0.03716;NA;NA;NA;48;2.48891639086759;6.83791641257641;0.642931323859073
TARA_A100000751;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;34.4933;21.5215;0.03716;NA;NA;NA;41;1.59199743076003;3.00995724587499;0.428697060987127
TARA_A100000756;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;34.4064;21.44155;0.055739;NA;NA;NA;37;3.3177890369983;20.28;0.91882150668131
TARA_A100000759;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;meso;34.4064;21.44155;0.055739;NA;NA;NA;10;2.20559835902639;8.16666666666666;0.95787919662003
TARA_A100000810;[MS] Mediterranean Sea (MRGID:1905);ZZZ;;meso;34.2189;21.6247;0.097632;NA;NA;NA;49;2.12648107473888;3.35236457437661;0.546397549694477
TARA_A100000817;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;micro;34.217;21.631425;0.055739;NA;NA;NA;6;1.73286795139986;5.33333333333333;0.967132018086354
TARA_A100000823;[MS] Mediterranean Sea (MRGID:1905);SRF;SRF;piconano;34.2116;21.8213;0.055739;NA;NA;NA;52;2.46877148253574;6.94884989163112;0.624808707933125
