sample;number_reads;OTU_richness
TARA_A100000546;2500;164.2
TARA_A100000546;5000;239.8
TARA_A100000546;7500;292.1
TARA_A100000546;10000;336.4
TARA_A100000546;12500;378.9
TARA_A100000546;15000;410.1
TARA_A100000546;17500;430.9
TARA_A100000546;20000;462.9
TARA_A100000546;22500;496
TARA_A100000546;25000;521.7
TARA_A100000546;27500;543.7
TARA_A100000546;30000;555.8
TARA_A100000546;32500;580.1
TARA_A100000546;35000;595.3
TARA_A100000546;37500;608.8
TARA_A100000546;40000;633.3
TARA_A100000546;42500;644.9
TARA_A100000546;45000;661.8
TARA_A100000546;47500;676.4
TARA_A100000546;50000;688.6
TARA_A100000546;52500;704.3
TARA_A100000546;55000;716.3
TARA_A100000546;57500;735.4
TARA_A100000546;60000;740.5
TARA_A100000546;62500;755.6
TARA_A100000546;65000;769.6
TARA_A100000546;67500;781.9
TARA_A100000546;70000;791.4
TARA_A100000546;72500;794.7
TARA_A100000546;75000;807.7
TARA_A100000546;77500;818.2
TARA_A100000546;80000;828.4
TARA_A100000546;82500;844.3
TARA_A100000546;85000;857.3
TARA_A100000546;87500;860.1
TARA_A100000546;90000;867.1
TARA_A100000546;92500;879.6
TARA_A100000546;95000;884.9
TARA_A100000546;97500;893.1
TARA_A100000546;1e+05;901.1
TARA_A100000546;102500;907.8
TARA_A100000546;105000;916.8
TARA_A100000546;107500;925.9
TARA_A100000546;110000;920.6
TARA_A100000546;112500;935.1
TARA_A100000546;115000;941.1
TARA_A100000546;117500;954.1
TARA_A100000546;120000;965.6
TARA_A100000546;122500;962.5
TARA_A100000546;125000;972.1
TARA_A100000546;127500;969.1
TARA_A100000546;130000;989.9
TARA_A100000546;132500;977.5
TARA_A100000546;135000;993.6
TARA_A100000546;137500;1000.2
TARA_A100000546;140000;1009.2
TARA_A100000546;142500;1018.9
TARA_A100000546;145000;1026.7
TARA_A100000546;147500;1022.5
TARA_A100000546;150000;1035.9
TARA_A100000546;152500;1037.1
TARA_A100000546;155000;1041.5
TARA_A100000546;157500;1040.1
TARA_A100000546;160000;1045.4
TARA_A100000546;162500;1058.4
TARA_A100000546;165000;1055.4
TARA_A100000546;167500;1065.6
TARA_A100000546;170000;1064.9
TARA_A100000546;172500;1078.9
TARA_A100000546;175000;1079.4
TARA_A100000546;177500;1087
TARA_A100000546;180000;1089.5
TARA_A100000546;182500;1094.4
TARA_A100000546;185000;1092.5
TARA_A100000546;187500;1101.6
TARA_A100000546;190000;1105.1
TARA_A100000546;192500;1100.1
TARA_A100000546;195000;1122.9
TARA_A100000546;197500;1125
TARA_A100000546;2e+05;1121.6
TARA_A100000546;202500;1129.3
TARA_A100000546;205000;1124.5
TARA_A100000546;207500;1132
TARA_A100000546;210000;1137.9
TARA_A100000546;212500;1145.7
TARA_A100000546;215000;1147.4
TARA_A100000546;217500;1155.9
TARA_A100000546;220000;1160
TARA_A100000546;222500;1160.3
TARA_A100000546;225000;1157.4
TARA_A100000546;227500;1162.5
TARA_A100000546;230000;1173.9
TARA_A100000546;232500;1168.9
TARA_A100000546;235000;1175.3
TARA_A100000546;237500;1187.2
TARA_A100000546;240000;1187.1
TARA_A100000546;242500;1182.6
TARA_A100000546;245000;1190.4
TARA_A100000546;247500;1195.2
TARA_A100000546;250000;1189.7
TARA_A100000546;252500;1202
